setting_id,model,img_size,aug_mode,params,best_val_top1,final_val_top1,final_val_top5,final_val_loss,latency_ms,train_time_sec
mobilenet_v2__sz128__basic,mobilenet_v2,128,basic,2351972,0.8089,0.8089,0.96,1.0860453479766845,3.55513334274292,771.548597574234
efficientnet_b0__sz128__basic,efficientnet_b0,128,basic,4135648,0.8296,0.8296,0.9642,0.993946688079834,5.431753396987915,1041.7461981773376
shufflenet_v2_x1_0__sz128__basic,shufflenet_v2_x1_0,128,basic,1356104,0.7796,0.7796,0.952,1.1673832801818849,4.316082000732422,470.8147475719452
squeezenet1_1__sz128__basic,squeezenet1_1,128,basic,773796,0.6582,0.6582,0.9,1.377101102256775,1.5050077438354492,368.0654013156891
resnet18__sz128__basic,resnet18,128,basic,11227812,0.769,0.769,0.9413,1.2882287591934205,1.6954946517944336,631.7306742668152
mobilenet_v2__sz128__advanced,mobilenet_v2,128,advanced,2351972,0.7994,0.7994,0.9563,1.0345364337921144,3.548804521560669,850.3474006652832
efficientnet_b0__sz128__advanced,efficientnet_b0,128,advanced,4135648,0.8253,0.8253,0.9649,0.9478543338775635,5.488239526748657,1051.3480079174042
shufflenet_v2_x1_0__sz128__advanced,shufflenet_v2_x1_0,128,advanced,1356104,0.7745,0.7745,0.9508,1.028658333015442,4.384294748306274,787.7633240222931
squeezenet1_1__sz128__advanced,squeezenet1_1,128,advanced,773796,0.6384,0.6384,0.8872,1.315546918106079,1.532299518585205,773.2698030471802
resnet18__sz128__advanced,resnet18,128,advanced,11227812,0.7746,0.7746,0.9393,1.1730863368988038,1.671302318572998,811.4750516414642
